,Event ID,Event Name,Category Bucket,Date (start),End Date,End Date Type,Location (State/US),old_deaths,Estimated Cost (2024$),Duration (Days),T1 Partial Recovery (days),T2 Full Recovery (days),V1,V2,V3,A1,A2,A3,R1,R2,R3,Vigilance Score,Agility Score,Resilience Score,Total Points,VAR Score (0-100),Source Type,Source Title,Source URL,Cost Estimate (Nominal USD),Cost Year (Nominal),Cost Range / Notes,Cost Source (URL/Citation),Notes,VAR Insight / Lessons Learned,Recovery Basis / Assumption,Recovery Confidence,Recovery Efficiency Score (1-5),Fatalities
0,E001,September 11 attacks,Other mass-casualty / infrastructure / terror,9/11/2001,9/17/2001,Estimated,"NY, PA, VA (US)","2,977",35000000000.0,6,7,3650,2,1,2,2,2,2,2,2,2,5,6,6,17,94.4,Investigation report,The 9/11 Commission Report (PDF),https://avalon.law.yale.edu/sept11/911report.pdf,35000000000,2001.0,"NY Fed estimate of direct costs (earnings losses, property damage, cleanup) $33–$36B (through June 2002); using midpoint.",https://www.newyorkfed.org/research/epr/02v08n2/0211rapa/0211rapa.html,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was weak because fragmented intelligence signals were not integrated into a clear threat picture. Agility was mixed: first responders mobilized quickly, but communications and interoperability problems limited coordination. Resilience improved afterward through major reforms in homeland security, aviation screening, and intelligence sharing. The lesson for decision-makers is that early warning systems only create value when agencies can fuse information and act on it quickly.",Benchmark estimate using national market reopening and long-horizon physical/institutional rebuild.,High,1,2977.0
1,E002,Space Shuttle Columbia disaster,Other mass-casualty / infrastructure / terror,2/1/2003,3/3/2003,Estimated,US,7,1267000000.0,30,30,540,2,1,2,2,2,2,2,2,2,5,6,6,17,94.4,Investigation report,Columbia Accident Investigation Board Report Vol. 1 (PDF),https://sma.nasa.gov/SignificantIncidents/assets/columbia-accident-investigation-board-report-volume-1.pdf,1267000000,2006.0,NASA estimate for return-to-flight costs following Columbia accident; proxy for program impact (not CPI-adjusted).,https://aviationweek.com/nasa-estimates-total-costs-shuttle-return-flight-1267b,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was mixed because foam-strike risk had been observed previously but was not treated as a mission-stopping hazard. Agility during the mission was limited because decision-makers lacked a viable in-flight recovery option and underestimated the damage. Resilience was strong afterward, with NASA changing inspection, imaging, and shuttle flight readiness processes. The decision lesson is to elevate known technical anomalies before they become catastrophic failures.",Program-level recovery based on shuttle stand-down and gradual return-to-flight horizon.,Medium,3,7.0
2,E003,Northeast Blackout,Non-weather infrastructure disruptions (electrical + cyber + fuel + critical systems),8/14/2003,8/16/2003,Actual,Northeast US & Ontario,11,8500000000.0,2,1,14,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Investigation report,"Final Report on the Aug 14, 2003 Blackout (PDF)",https://www.nerc.com/globalassets/our-work/reports/event-reports/august_2003_blackout_final_report.pdf,8500000000,2003.0,Commonly cited economic cost range $7–$10B; using midpoint (not CPI-adjusted).,(cost range widely cited; add primary report later),Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was only partial because operators had monitoring tools, but cascading-failure risk was underestimated and tree-trimming weaknesses persisted. Agility was moderate because utilities restored power quickly in some areas, but coordination failures slowed stabilization. Resilience improved through mandatory reliability standards and stronger grid oversight. Leaders should treat infrastructure maintenance and cross-operator coordination as prevention investments, not optional costs.",Grid service restored quickly; secondary economic normalization extended about two weeks.,High,5,11.0
3,E004,Hurricane Katrina,Weather events (including storm-related outages),8/29/2005,11/30/2005,Estimated,Gulf Coast (US),"1,300",201000000000.0,93,90,2555,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,After-action / lessons learned,The Federal Response to Hurricane Katrina: Lessons Learned (PDF),https://biotech.law.lsu.edu/katrina/govdocs/katrina-lessons-learned.pdf,1.25E+11,2005.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance was undermined by long-known levee vulnerabilities even though storm forecasting itself was strong. Agility was weak because response and evacuation coordination across local, state, and federal levels was slow and inconsistent. Resilience improved later through FEMA reforms and major levee investments, but only after enormous human and economic loss. The lesson is that accurate forecasting is not enough if structural vulnerabilities are left unresolved.",Essential services returned unevenly over months; full housing/infrastructure recovery took years.,High,2,1300.0
4,E005,Hurricanes Katrina & Rita (AAR/IP),Weather events (including storm-related outages),8/29/2005,11/30/2005,Derived,LA/MS/TX (US),"1,300",201000000000.0,93,90,2555,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,After-action report,Hurricanes Katrina and Rita After Action Report & Improvement Plan (PDF),https://gohsep.la.gov/media/x1rnrrxi/hurricanes_katrina_and_rita_aar_and_improvement_plan.pdf,1.25E+11,2005.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"This after-action record shows stronger vigilance than Katrina because emergency planning and evacuation improved across the Gulf Coast. Agility benefited from lessons learned, though transportation bottlenecks and sheltering pressures still created stress. Resilience was stronger because organizations were able to apply prior disaster lessons more effectively. The decision lesson is that organizations can materially improve readiness when after-action findings are actually institutionalized.",AAR/IP duplicate benchmark aligned to Gulf Coast multi-year restoration horizon.,High,2,1300.0
5,E006,Virginia Tech mass shooting,"Fatal shootings (schools, workplaces, worship)",4/16/2007,4/16/2007,Actual,VA,32,48200000.0,0,2,90,1,1,1,2,2,2,2,2,1,3,6,5,14,77.8,Investigation / review report,Virginia Tech Review Panel Report (PDF),https://scholar.lib.vt.edu/prevail/docs/VTReviewPanelReport.pdf,48200000,2007.0,Center for American Progress report estimate at least $48.2M total (taxpayers + university + donors).,https://cdn.americanprogress.org/wp-content/uploads/issues/2012/04/pdf/vt_gun_control.pdf,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was weak because the attacker’s warning signs were not translated into preventive action. Agility was moderate as campus and law-enforcement response occurred, but not before mass casualties were sustained. Resilience improved through changes in campus alert systems, emergency procedures, and threat-assessment practices. Leaders should invest in behavioral threat detection and rapid-notification systems before crises occur.",Campus operations stabilized rapidly; institutional/community recovery extended through semester scale.,Medium,4,32.0
6,E007,I-35W bridge collapse (Minneapolis),Other mass-casualty / infrastructure / terror,8/1/2007,8/8/2007,Estimated,MN,13,250000000.0,7,7,365,2,1,2,2,2,2,2,2,2,5,6,6,17,94.4,Investigation report,NTSB Highway Accident Report HAR-08/03 (PDF),https://www.ntsb.gov/investigations/AccidentReports/Reports/HAR0803.pdf,250000000,2007.0,Emergency federal authorization ~ $250M for rebuild; replacement contract reported at $234M.,https://www.lrl.mn.gov/guides/guides?issue=bridges,Cost value is nominal per cited source (not CPI-adjusted to 2024).,Vigilance was mixed because infrastructure condition and design risks were present but not fully acted upon before collapse. Agility was relatively strong: emergency responders mobilized rapidly and rescue operations were immediate. Resilience improved through bridge inspection reform and infrastructure investment reviews. The key lesson is that asset-monitoring systems must be linked to timely maintenance and decision action.,Traffic workarounds came quickly; full transportation recovery waited on bridge replacement.,High,3,13.0
7,E008,2009 H1N1 influenza pandemic (US),Health events,4/12/2009,8/10/2010,Actual,US,"12,469",55000000000.0,485,60,365,2,2,1,2,2,2,3,2,2,5,6,7,18,100.0,Public health report,CDC: The 2009 H1N1 Pandemic Summary Highlights (PDF),https://stacks.cdc.gov/view/cdc/93377/cdc_93377_DS1.pdf,55000000000,2009.0,Often-cited estimate of economic impact around $55B; verify with primary study (not CPI-adjusted).,(needs primary source),Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was partial because public-health surveillance identified the threat, but early uncertainty complicated decision-making. Agility was moderate to strong as vaccination campaigns, public guidance, and health-system responses were deployed quickly. Resilience improved through stronger pandemic planning and surveillance practices, although uneven readiness remained. Decision-makers should treat public-health monitoring and communication capacity as core resilience infrastructure.",Public health stabilization occurred within season; broader normalization took about a year.,Medium,4,12469.0
8,E009,Deepwater Horizon oil spill,Other mass-casualty / infrastructure / terror,4/20/2010,9/19/2010,Actual,Gulf of Mexico,11,61600000000.0,152,90,3650,2,1,2,2,2,2,2,2,2,5,6,6,17,94.4,Investigation report,National Commission on BP Deepwater Horizon Oil Spill (PDF),https://www.govinfo.gov/content/pkg/GPO-OILCOMMISSION/pdf/GPO-OILCOMMISSION.pdf,61600000000,2016.0,BP cumulative pre-tax charge estimate; relates to cleanup + legal liabilities (not CPI-adjusted).,https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-estimates-all-remaining-material-deepwater-horizon-liabilitie.html,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was weak because warning signs related to drilling safety, well integrity, and risk controls were not acted on adequately. Agility was limited because containment and response were slowed by the technical complexity of the blowout. Resilience improved through regulatory reform and stronger offshore drilling oversight, but environmental recovery was prolonged. The lesson is that high-risk industrial operations require aggressive prevention and safety culture, not just response planning.",Leak control took months; ecological and economic recovery extended for years.,High,2,11.0
9,E010,"Joplin, MO EF5 tornado",Weather events (including storm-related outages),5/22/2011,6/12/2011,Estimated,MO,158,12735600000.0,21,21,730,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Service assessment,NWS Service Assessment: Joplin Tornado (PDF),https://www.weather.gov/media/publications/assessments/Joplin_tornado.pdf,9096800000,2011.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance was relatively strong because severe-weather forecasting warned of tornado risk, but public interpretation and protective action were inconsistent. Agility was strong in the immediate response, with rapid emergency and volunteer mobilization. Resilience was also strong because rebuilding incorporated improved building standards and preparedness practices. Leaders should remember that warning quality matters less if the public cannot convert alerts into action.","Emergency stabilization was fast, but full housing/business rebuild extended multiple years.",High,2,158.0
